101,2016,173,1900,9.97,1825,11.44,1815,49.94,52.59,48.53,18.68,1801,8.35,9.33,6.512,125.1,44.5,4.169,2.911,125.1,44.5,13.3
101,2016,173,2000,9.3,1926,10.74,1958,48.73,51.34,46.26,21.88,1927,9.78,8.95,6.635,215.4,41.21,4.001,2.966,215.4,41.21,13.2
101,2016,173,2100,9.67,2059,10.94,2002,49.41,51.7,50.98,25.6,2031,11.44,10.29,7.89,44.73,39.1,4.6,3.528,44.73,39.1,13.11
103,2016,173,2100,9.3,1926,11.44,1815,48.73,52.59,50.98,25.6,2031,11.44,9.52,2.628,116.7,68.92,4.257,1.175,116.7,68.92,13.11
101,2016,173,2200,9.31,2146,10.34,2158,48.75,50.62,47.83,23.28,2159,10.41,6.779,6.195,167,23.76,3.03,2.769,167,23.76,13.04
101,2016,173,2300,9.74,2237,11.11,2220,49.53,52,45.26,28.41,2202,12.7,8.6,6.741,185.4,37.66,3.844,3.013,185.4,37.66,12.97
101,2016,173,2400,10.08,2300,11.41,2350,50.14,52.55,38.36,9.51,2311,4.252,5.165,4.494,215.1,29.18,2.309,2.009,215.1,29.18,12.91
103,2016,173,2400,9.31,2146,11.41,2350,48.75,52.55,38.36,28.41,2202,12.7,6.848,5.508,186.4,35.82,3.061,2.462,186.4,35.82,12.91
124,2016,173,2400,8.74,452,19.33,1107,47.73,66.8,38.36,33.84,1404,15.13,11.87,5.618,191.2,58.79,5.306,2.511,191.2,58.79,12.91,12.11,53.8
101,2016,174,100,10.61,35,11.72,55,51.1,53.09,36.25,9.69,11,4.331,4.072,3.15,236.9,38.55,1.82,1.408,236.9,38.55,12.86
101,2016,174,200,10.85,127,11.68,103,51.52,53.03,38.13,14.03,143,6.271,7.96,7.49,277.1,19.75,3.559,3.347,277.1,19.75,12.85
101,2016,174,300,10.34,235,11.41,220,50.62,52.55,38.46,13.85,201,6.193,4.081,3.154,287.6,38.6,1.824,1.41,287.6,38.6,12.83
103,2016,174,300,10.34,235,11.72,55,50.62,53.09,38.46,14.03,143,6.271,5.372,4.36,270.7,35.16,2.401,1.949,270.7,35.16,12.83
101,2016,174,400,10.11,323,10.98,300,50.2,51.76,38.93,5.48,330,2.45,3.249,2.673,173.8,34.1,1.452,1.195,173.8,34.1,12.82
101,2016,174,500,9.87,452,10.88,401,49.77,51.58,38.53,8.02,418,3.586,4.414,2.731,196.3,50.02,1.973,1.221,196.3,50.02,12.79
101,2016,174,600,10.58,509,12.99,553,51.04,55.38,37.39,6.971,511,3.116,2.46,.271,233.3,76.4,1.099,.121,233.3,76.4,12.8
103,2016,174,600,9.87,452,12.99,553,49.77,55.38,37.39,8.02,418,3.586,3.374,1.828,187.3,54.83,1.508,.817,187.3,54.83,12.8
101,2016,174,700,12.18,605,15.92,659,53.93,60.66,29.11,4.559,641,2.038,2.312,1.812,175.4,37.64,1.033,.81,175.4,37.64,12.91
101,2016,174,800,12.96,743,16.65,713,55.33,61.97,38.64,7.67,755,3.429,3.52,2.629,138.6,40.74,1.573,1.175,138.6,40.74,13.04
101,2016,174,900,13.79,822,17.37,900,56.83,63.26,31.48,7.06,815,3.155,3.633,2.872,146.8,37.08,1.624,1.284,146.8,37.08,13.58
103,2016,174,900,12.18,605,17.37,900,53.93,63.26,31.48,7.67,755,3.429,3.155,2.361,150.8,40.64,1.41,1.055,150.8,40.64,13.58
101,2016,174,1000,14.82,950,18.43,910,58.67,65.18,34.28,7.01,953,3.135,2.721,2.06,242.1,39.91,1.216,.921,242.1,39.91,14.04
101,2016,174,1100,14.01,1100,16.62,1035,57.22,61.92,35.79,13.55,1042,6.055,5.283,4.009,263.6,39.78,2.362,1.792,263.6,39.78,13.74
101,2016,174,1200,11.04,1153,14.15,1103,51.88,57.46,37.3,29.29,1120,13.09,13.62,10.17,175.4,40.77,6.086,4.545,175.4,40.77,13.46
103,2016,174,1200,11.04,1153,18.43,910,51.88,65.18,37.3,29.29,1120,13.09,7.21,4.194,203.4,52.37,3.221,1.875,203.4,52.37,13.46
101,2016,174,1300,9.39,1250,11.95,1200,48.9,53.51,55.18,34.5,1211,15.42,16.78,14.42,120.2,30.37,7.5,6.447,120.2,30.37,13.32
101,2016,174,1400,7.26,1342,9.46,1300,45.07,49.03,72,18.33,1313,8.19,8.34,1.866,16.37,71.4,3.728,.834,16.37,71.4,13.26
101,2016,174,1500,7.17,1408,9.85,1433,44.9,49.73,61.23,31.92,1454,14.27,9.3,4.884,217.3,55.82,4.158,2.183,217.3,55.82,13.25
